material;permittivity;permeability;conductivity;loss_tangent
AIR;1.0;1.0;0.0;0.0
COPPER;1.0;1.0;58000000.0;0.0
DIEL_AD10;10.2;1.0;0.0;0.0078
DIEL_AD1000;10.2;1.0;0.0;0.0023
DIEL_AD250;2.5;1.0;0.0;0.0018
DIEL_AD250A;2.5;1.0;0.0;0.0015
DIEL_AD250C;2.5;1.0;0.0;0.0014
DIEL_AD250_PIM;2.5;1.0;0.0;0.0018
DIEL_AD255;2.55;1.0;0.0;0.0018
DIEL_AD255A;2.55;1.0;0.0;0.0015
DIEL_AD255C;2.55;1.0;0.0;0.0014
DIEL_AD260A;2.6;1.0;0.0;0.0017
DIEL_AD270;2.7;1.0;0.0;0.0023
DIEL_AD300;3.0;1.0;0.0;0.003
DIEL_AD300A;3.0;1.0;0.0;0.002
DIEL_AD300C;2.97;1.0;0.0;0.002
DIEL_AD300_PIM;3.0;1.0;0.0;0.003
DIEL_AD320;3.2;1.0;0.0;0.0038
DIEL_AD320A;3.2;1.0;0.0;0.0032
DIEL_AD320_PIM;3.2;1.0;0.0;0.003
DIEL_AD350;3.5;1.0;0.0;0.003
DIEL_AD350A;3.5;1.0;0.0;0.003
DIEL_AD350_PIM;3.5;1.0;0.0;0.003
DIEL_AD410;4.1;1.0;0.0;0.003
DIEL_AD430;4.3;1.0;0.0;0.003
DIEL_AD450;4.5;1.0;0.0;0.0035
DIEL_AD450A;4.5;1.0;0.0;0.0035
DIEL_AD5;5.1;1.0;0.0;0.003
DIEL_AD600;5.9;1.0;0.0;0.003
DIEL_AR1000;9.8;1.0;0.0;0.003
DIEL_CERAMIC;6.0;1.0;0.0;0.001
DIEL_CER_10;10.0;1.0;0.0;0.0035
DIEL_CLTE;2.96;1.0;0.0;0.0023
DIEL_CLTE_AT;3.0;1.0;0.0;0.0013
DIEL_CLTE_LC;2.94;1.0;0.0;0.0025
DIEL_CLTE_XT;2.94;1.0;0.0;0.0012
DIEL_COMCLAD_HF_ER2;2.0;1.0;0.0;0.0025
DIEL_COMCLAD_HF_ER3;3.0;1.0;0.0;0.0025
DIEL_COMCLAD_HF_ER4;4.0;1.0;0.0;0.0025
DIEL_COMCLAD_HF_ER5;5.0;1.0;0.0;0.0025
DIEL_COMCLAD_HF_ER6;6.0;1.0;0.0;0.0025
DIEL_COPPER_CLAD_ULTEM;3.05;1.0;0.0;0.003
DIEL_CUCLAD_217LX;2.17;1.0;0.0;0.0009
DIEL_CUCLAD_233LX;2.33;1.0;0.0;0.0013
DIEL_CUCLAD_250GT;2.5;1.0;0.0;0.0018
DIEL_CUCLAD_250GX;2.4;1.0;0.0;0.0018
DIEL_CUFLON;2.05;1.0;0.0;0.00045
DIEL_DICLAD_522;2.4;1.0;0.0;0.0018
DIEL_DICLAD_527;2.4;1.0;0.0;0.0018
DIEL_DICLAD_870;2.33;1.0;0.0;0.0013
DIEL_DICLAD_880;2.17;1.0;0.0;0.0009
DIEL_DICLAD_880_PIM;2.17;1.0;0.0;0.0009
DIEL_FR1;4.8;1.0;0.0;0.025
DIEL_FR2;4.8;1.0;0.0;0.02
DIEL_FR3;4.5;1.0;0.0;0.02
DIEL_FR4;4.4;1.0;0.0;0.015
DIEL_FR5;4.2;1.0;0.0;0.012
DIEL_FR6;5.2;1.0;0.0;0.03
DIEL_GETEK_3p5;3.5;1.0;0.0;0.01
DIEL_GETEK_3p8;3.8;1.0;0.0;0.01
DIEL_IS420_approx;4.5;1.0;0.0;0.018
DIEL_IS6802_80;2.8;1.0;0.0;0.003
DIEL_IS6803_00;3.0;1.0;0.0;0.003
DIEL_IS6803_20;3.2;1.0;0.0;0.003
DIEL_IS6803_33;3.33;1.0;0.0;0.003
DIEL_IS6803_38;3.38;1.0;0.0;0.0032
DIEL_IS6803_45;3.45;1.0;0.0;0.0035
DIEL_ISOCLAD_917;2.17;1.0;0.0;0.0013
DIEL_ISOCLAD_933;2.33;1.0;0.0;0.0016
DIEL_ISOLA_I_TERA_MT;3.45;1.0;0.0;0.003
DIEL_ISOLA_NELCO_4000_13;3.77;1.0;0.0;0.008
DIEL_MAT25FR;3.58;1.0;0.0;0.0035
DIEL_MAT_25N;3.38;1.0;0.0;0.0025
DIEL_MEGTRON6R5775;3.61;1.0;0.0;0.004
DIEL_MERCURYWAVE_9350;3.5;1.0;0.0;0.004
DIEL_MULTICLAD_HF;3.7;1.0;0.0;0.0045
DIEL_N4350_13RF;3.5;1.0;0.0;0.0065
DIEL_N4380_13RF;3.8;1.0;0.0;0.007
DIEL_N8000Q;3.2;1.0;0.0;0.006
DIEL_N9300_13RF;3.0;1.0;0.0;0.004
DIEL_N9320_13RF;3.2;1.0;0.0;0.0045
DIEL_N9338_13RF;3.38;1.0;0.0;0.0046
DIEL_N9350_13RF;3.48;1.0;0.0;0.0055
DIEL_NH9294;2.94;1.0;0.0;0.0022
DIEL_NH9300;3.0;1.0;0.0;0.0023
DIEL_NH9320;3.2;1.0;0.0;0.0024
DIEL_NH9338;3.38;1.0;0.0;0.0025
DIEL_NH9348;3.48;1.0;0.0;0.003
DIEL_NH9350;3.5;1.0;0.0;0.003
DIEL_NH9410;4.1;1.0;0.0;0.003
DIEL_NH9450;4.5;1.0;0.0;0.003
DIEL_NORCLAD;2.55;1.0;0.0;0.0011
DIEL_NX9240;2.4;1.0;0.0;0.0016
DIEL_NX9245;2.45;1.0;0.0;0.0016
DIEL_NX9250;2.5;1.0;0.0;0.0017
DIEL_NX9255;2.55;1.0;0.0;0.0018
DIEL_NX9260;2.6;1.0;0.0;0.0019
DIEL_NX9270;2.7;1.0;0.0;0.002
DIEL_NX9294;2.94;1.0;0.0;0.0022
DIEL_NX9300;3.0;1.0;0.0;0.0023
DIEL_NX9320;3.2;1.0;0.0;0.0024
DIEL_NY9208;2.08;1.0;0.0;0.0006
DIEL_NY9217;2.17;1.0;0.0;0.0008
DIEL_NY9220;2.2;1.0;0.0;0.0009
DIEL_NY9233;2.33;1.0;0.0;0.0011
DIEL_N_8000;3.5;1.0;0.0;0.011
DIEL_POLYGUIDE;2.32;1.0;0.0;0.0005
DIEL_POLYIMIDE;3.4;1.0;0.0;0.02
DIEL_PTFE;2.1;1.0;0.0;0.0002
DIEL_RF_30;3.0;1.0;0.0;0.0019
DIEL_RF_301;2.97;1.0;0.0;0.0018
DIEL_RF_35;3.5;1.0;0.0;0.0025
DIEL_RF_35A2;3.5;1.0;0.0;0.0015
DIEL_RF_35P;3.5;1.0;0.0;0.0034
DIEL_RF_35TC;3.5;1.0;0.0;0.0011
DIEL_RF_41;4.1;1.0;0.0;0.0038
DIEL_RF_43;4.3;1.0;0.0;0.0033
DIEL_RF_45;4.5;1.0;0.0;0.0037
DIEL_RF_60A;6.15;1.0;0.0;0.0038
DIEL_RO3003;3.0;1.0;0.0;0.0011
DIEL_RO3006;6.15;1.0;0.0;0.002
DIEL_RO3010;10.2;1.0;0.0;0.0022
DIEL_RO3035;3.5;1.0;0.0;0.0017
DIEL_RO3203;3.02;1.0;0.0;0.0016
DIEL_RO3206;6.15;1.0;0.0;0.0027
DIEL_RO3210;10.2;1.0;0.0;0.0027
DIEL_RO3730;3.0;1.0;0.0;0.0016
DIEL_RO4003C;3.38;1.0;0.0;0.0029
DIEL_RO4350B;3.48;1.0;0.0;0.0037
DIEL_RO4350B_TX;3.48;1.0;0.0;0.0034
DIEL_RO4360;6.15;1.0;0.0;0.0038
DIEL_RO4533;3.3;1.0;0.0;0.0025
DIEL_RO4534;3.4;1.0;0.0;0.0027
DIEL_RO4535;3.5;1.0;0.0;0.0037
DIEL_RO4730;3.0;1.0;0.0;0.0033
DIEL_RT_Duroid_5870;2.33;1.0;0.0;0.0012
DIEL_RT_Duroid_5880;2.2;1.0;0.0;0.0009
DIEL_RT_Duroid_5880LZ;1.96;1.0;0.0;0.0019
DIEL_RT_Duroid_6002;2.94;1.0;0.0;0.0012
DIEL_RT_Duroid_6006;6.15;1.0;0.0;0.0027
DIEL_RT_Duroid_6010_2LM;10.2;1.0;0.0;0.0023
DIEL_RT_Duroid_6035HTC;3.5;1.0;0.0;0.0013
DIEL_RT_Duroid_6202;2.94;1.0;0.0;0.0015
DIEL_RT_Duroid_6202PR;2.9;1.0;0.0;0.002
DIEL_SYRON_70000_002IN_Thick;3.4;1.0;0.0;0.0045
DIEL_SYRON_71000INCH;3.61;1.0;0.0;0.006
DIEL_SYRON_71000_004IN_THICK;3.39;1.0;0.0;0.005
DIEL_TACLAMPLUS;2.1;1.0;0.0;0.0004
DIEL_TC350;3.5;1.0;0.0;0.002
DIEL_TC600;6.15;1.0;0.0;0.002
DIEL_TEFLON;2.1;1.0;0.0;0.0003
DIEL_THETA;3.85;1.0;0.0;0.0123
DIEL_TLA_6;2.62;1.0;0.0;0.0017
DIEL_TLC_27;2.75;1.0;0.0;0.003
DIEL_TLC_30;3.0;1.0;0.0;0.003
DIEL_TLC_32;3.2;1.0;0.0;0.003
DIEL_TLC_338;3.38;1.0;0.0;0.0034
DIEL_TLC_35;3.5;1.0;0.0;0.0037
DIEL_TLE_95;2.95;1.0;0.0;0.0028
DIEL_TLF_34;3.4;1.0;0.0;0.002
DIEL_TLF_35;3.5;1.0;0.0;0.002
DIEL_TLG_29;2.87;1.0;0.0;0.0027
DIEL_TLG_30;3.0;1.0;0.0;0.0038
DIEL_TLP_3;2.33;1.0;0.0;0.0009
DIEL_TLP_5;2.2;1.0;0.0;0.0009
DIEL_TLP_5A;2.17;1.0;0.0;0.0009
DIEL_TLT_0;2.45;1.0;0.0;0.0019
DIEL_TLT_6;2.65;1.0;0.0;0.0019
DIEL_TLT_7;2.6;1.0;0.0;0.0019
DIEL_TLT_8;2.55;1.0;0.0;0.0019
DIEL_TLT_9;2.5;1.0;0.0;0.0019
DIEL_TLX_0;2.45;1.0;0.0;0.0019
DIEL_TLX_6;2.65;1.0;0.0;0.0019
DIEL_TLX_7;2.6;1.0;0.0;0.0019
DIEL_TLX_8;2.55;1.0;0.0;0.0019
DIEL_TLX_9;2.5;1.0;0.0;0.0019
DIEL_TLY_3;2.33;1.0;0.0;0.0012
DIEL_TLY_3F;2.33;1.0;0.0;0.0012
DIEL_TLY_5;2.2;1.0;0.0;0.0009
DIEL_TLY_5A;2.17;1.0;0.0;0.0009
DIEL_TLY_5AL;2.17;1.0;0.0;0.0009
DIEL_TLY_5_L;2.2;1.0;0.0;0.0009
DIEL_TMM_10;9.2;1.0;0.0;0.0022
DIEL_TMM_10i;9.8;1.0;0.0;0.002
DIEL_TMM_3;3.27;1.0;0.0;0.002
DIEL_TMM_4;4.5;1.0;0.0;0.002
DIEL_TMM_6;6.0;1.0;0.0;0.0023
DIEL_TRF_41;4.1;1.0;0.0;0.0035
DIEL_TRF_43;4.3;1.0;0.0;0.0035
DIEL_TRF_45;4.5;1.0;0.0;0.0035
DIEL_TSM_26;2.6;1.0;0.0;0.0014
DIEL_TSM_29;2.94;1.0;0.0;0.0013
DIEL_TSM_30;3.0;1.0;0.0;0.0013
DIEL_TSM_DS;2.85;1.0;0.0;0.001
DIEL_TSM_DS3;3.0;1.0;0.0;0.0011
DIEL_ULTRALAM_2000;2.4;1.0;0.0;0.0019
DIEL_ULTRALAM_3850;2.9;1.0;0.0;0.0025
DIEL_XT_Duroid_80000_002IN_Thick;3.23;1.0;0.0;0.0035
DIEL_XT_Duroid_8100;3.54;1.0;0.0;0.0049
DIEL_XT_Duroid_81000_004IN_Thick;3.32;1.0;0.0;0.0038
FOAM_AIREX_C70;1.1;1.0;0.0;0.001
FOAM_AIREX_T92;1.1;1.0;0.0;0.002
FOAM_EPS;1.03;1.0;0.0;0.005
FOAM_GLAS;3.1;1.0;0.0;0.005
FOAM_PEI;1.15;1.0;0.0;0.0035
FOAM_PMI;1.1;1.0;0.0;0.0008
FOAM_PU;1.1;1.0;0.0;0.008
FOAM_PVC;1.2;1.0;0.0;0.004
FOAM_PVC_CORECELL;1.56;1.0;0.0;0.0025
FOAM_ROHACELL_31;1.05;1.0;0.0;0.0005
FOAM_ROHACELL_51;1.07;1.0;0.0;0.0006
FOAM_ROHACELL_71;1.1;1.0;0.0;0.0007
FOAM_XPS;1.05;1.0;0.0;0.003
LIQ_FERRITE;12.0;2000.0;0.0;0.02
LIQ_WATER;80.1;1.0;0.0;0.0
MET_ALUMINUM;1.0;1.0;37700000.0;0.0
MET_CARBON;1.0;1.0;33300.0;0.0
MET_CHROMIUM;1.0;1.0;5560000.0;0.0
MET_COPPER;1.0;1.0;58000000.0;0.0
MET_GOLD;1.0;1.0;41000000.0;0.0
MET_INDIUM;1.0;1.0;6440000.0;0.0
MET_IRIDIUM;1.0;1.0;21300000.0;0.0
MET_IRON;1.0;1.0;10400000.0;0.0
MET_LEAD;1.0;1.0;4840000.0;0.0
MET_MAGNESIUM;1.0;1.0;23800000.0;0.0
MET_NICHROME;1.0;1.0;909000.0;0.0
MET_NICKEL;1.0;1.0;11400000.0;0.0
